FID IID Population
NA18545 NA18545 ASN
NA18547 NA18547 ASN
NA18550 NA18550 ASN
NA18552 NA18552 ASN
NA18553 NA18553 ASN
NA18555 NA18555 ASN
NA18558 NA18558 ASN
NA18560 NA18560 ASN
NA18561 NA18561 ASN
NA18562 NA18562 ASN
NA18563 NA18563 ASN
NA18564 NA18564 ASN
NA18565 NA18565 ASN
NA18566 NA18566 ASN
NA18567 NA18567 ASN
NA18570 NA18570 ASN
NA18571 NA18571 ASN
NA18572 NA18572 ASN
NA18573 NA18573 ASN
NA18574 NA18574 ASN
NA18576 NA18576 ASN
NA18577 NA18577 ASN
NA18579 NA18579 ASN
NA18582 NA18582 ASN
NA18592 NA18592 ASN
NA18593 NA18593 ASN
NA18603 NA18603 ASN
NA18605 NA18605 ASN
NA18608 NA18608 ASN
NA18609 NA18609 ASN
NA18611 NA18611 ASN
NA18612 NA18612 ASN
NA18614 NA18614 ASN
NA18615 NA18615 ASN
NA18616 NA18616 ASN
NA18617 NA18617 ASN
NA18618 NA18618 ASN
NA18619 NA18619 ASN
NA18620 NA18620 ASN
NA18621 NA18621 ASN
NA18622 NA18622 ASN
NA18623 NA18623 ASN
NA18624 NA18624 ASN
NA18625 NA18625 ASN
NA18626 NA18626 ASN
NA18627 NA18627 ASN
NA18628 NA18628 ASN
NA18630 NA18630 ASN
NA18631 NA18631 ASN
NA18632 NA18632 ASN
NA18633 NA18633 ASN
NA18634 NA18634 ASN
NA18636 NA18636 ASN
NA18638 NA18638 ASN
NA18640 NA18640 ASN
NA18642 NA18642 ASN
NA18643 NA18643 ASN
NA18745 NA18745 ASN
NA18853 NA18853 AFR
NA18856 NA18856 AFR
NA18858 NA18858 AFR
NA18861 NA18861 AFR
NA18867 NA18867 AFR
NA18868 NA18868 AFR
NA18870 NA18870 AFR
NA18871 NA18871 AFR
NA18873 NA18873 AFR
NA18874 NA18874 AFR
NA18907 NA18907 AFR
NA18908 NA18908 AFR
NA18909 NA18909 AFR
NA18910 NA18910 AFR
NA18912 NA18912 AFR
NA18916 NA18916 AFR
NA18940 NA18940 ASN
NA18941 NA18941 ASN
NA18942 NA18942 ASN
NA18943 NA18943 ASN
NA18944 NA18944 ASN
NA18945 NA18945 ASN
NA18947 NA18947 ASN
NA18948 NA18948 ASN
NA18949 NA18949 ASN
NA18950 NA18950 ASN
NA18951 NA18951 ASN
NA18952 NA18952 ASN
NA18953 NA18953 ASN
NA18955 NA18955 ASN
NA18956 NA18956 ASN
NA18959 NA18959 ASN
NA18960 NA18960 ASN
NA18961 NA18961 ASN
NA18963 NA18963 ASN
NA18964 NA18964 ASN
NA18965 NA18965 ASN
NA18967 NA18967 ASN
NA18968 NA18968 ASN
NA18970 NA18970 ASN
NA18971 NA18971 ASN
NA18972 NA18972 ASN
NA18973 NA18973 ASN
NA18974 NA18974 ASN
NA18975 NA18975 ASN
NA18976 NA18976 ASN
NA18977 NA18977 ASN
NA18979 NA18979 ASN
NA18980 NA18980 ASN
NA18981 NA18981 ASN
NA18982 NA18982 ASN
NA18983 NA18983 ASN
NA18984 NA18984 ASN
NA18985 NA18985 ASN
NA18986 NA18986 ASN
NA18987 NA18987 ASN
NA18988 NA18988 ASN
NA18989 NA18989 ASN
NA18990 NA18990 ASN
NA18997 NA18997 ASN
NA18999 NA18999 ASN
NA19000 NA19000 ASN
NA19001 NA19001 ASN
NA19002 NA19002 ASN
NA19003 NA19003 ASN
NA19004 NA19004 ASN
NA19005 NA19005 ASN
NA19007 NA19007 ASN
NA19009 NA19009 ASN
NA19010 NA19010 ASN
NA19012 NA19012 ASN
NA19027 NA19027 AFR
NA19044 NA19044 AFR
NA19054 NA19054 ASN
NA19055 NA19055 ASN
NA19056 NA19056 ASN
NA19057 NA19057 ASN
NA19058 NA19058 ASN
NA19059 NA19059 ASN
NA19060 NA19060 ASN
NA19062 NA19062 ASN
NA19063 NA19063 ASN
NA19064 NA19064 ASN
NA19065 NA19065 ASN
NA19066 NA19066 ASN
NA19067 NA19067 ASN
NA19068 NA19068 ASN
NA19070 NA19070 ASN
NA19072 NA19072 ASN
NA19074 NA19074 ASN
NA19075 NA19075 ASN
NA19076 NA19076 ASN
NA19077 NA19077 ASN
NA19078 NA19078 ASN
NA19079 NA19079 ASN
NA19082 NA19082 ASN
NA19083 NA19083 ASN
NA19084 NA19084 ASN
NA19085 NA19085 ASN
NA19086 NA19086 ASN
NA19087 NA19087 ASN
NA19088 NA19088 ASN
NA19093 NA19093 AFR
NA19098 NA19098 AFR
NA19099 NA19099 AFR
NA19102 NA19102 AFR
NA19107 NA19107 AFR
NA19108 NA19108 AFR
NA19113 NA19113 AFR
NA19114 NA19114 AFR
NA19116 NA19116 AFR
NA19119 NA19119 AFR
NA19129 NA19129 AFR
NA19130 NA19130 AFR
NA19131 NA19131 AFR
NA19137 NA19137 AFR
NA19138 NA19138 AFR
NA19141 NA19141 AFR
NA19143 NA19143 AFR
NA19144 NA19144 AFR
NA19147 NA19147 AFR
NA19152 NA19152 AFR
NA19153 NA19153 AFR
NA19159 NA19159 AFR
NA19160 NA19160 AFR
NA19171 NA19171 AFR
NA19172 NA19172 AFR
NA19184 NA19184 AFR
NA19189 NA19189 AFR
NA19190 NA19190 AFR
NA19200 NA19200 AFR
NA19201 NA19201 AFR
NA19204 NA19204 AFR
NA19206 NA19206 AFR
NA19207 NA19207 AFR
NA19209 NA19209 AFR
NA19210 NA19210 AFR
NA19213 NA19213 AFR
NA19225 NA19225 AFR
NA19235 NA19235 AFR
NA19236 NA19236 AFR
NA19247 NA19247 AFR
NA19248 NA19248 AFR
NA19256 NA19256 AFR
NA19257 NA19257 AFR
NA19311 NA19311 AFR
NA19312 NA19312 AFR
NA19313 NA19313 AFR
NA19314 NA19314 AFR
NA19332 NA19332 AFR
NA19334 NA19334 AFR
NA19338 NA19338 AFR
NA19346 NA19346 AFR
NA19347 NA19347 AFR
NA19350 NA19350 AFR
NA19355 NA19355 AFR
NA19359 NA19359 AFR
NA19360 NA19360 AFR
NA19371 NA19371 AFR
NA19372 NA19372 AFR
NA19375 NA19375 AFR
NA19376 NA19376 AFR
NA19377 NA19377 AFR
NA19379 NA19379 AFR
NA19381 NA19381 AFR
NA19382 NA19382 AFR
NA19383 NA19383 AFR
NA19384 NA19384 AFR
NA19385 NA19385 AFR
NA19390 NA19390 AFR
NA19391 NA19391 AFR
NA19393 NA19393 AFR
NA19394 NA19394 AFR
NA19395 NA19395 AFR
NA19397 NA19397 AFR
NA19398 NA19398 AFR
NA19399 NA19399 AFR
NA19401 NA19401 AFR
NA19404 NA19404 AFR
NA19428 NA19428 AFR
NA19429 NA19429 AFR
NA19434 NA19434 AFR
NA19435 NA19435 AFR
NA19436 NA19436 AFR
NA19437 NA19437 AFR
NA19438 NA19438 AFR
NA19439 NA19439 AFR
NA19440 NA19440 AFR
NA19443 NA19443 AFR
NA19444 NA19444 AFR
NA19445 NA19445 AFR
NA19446 NA19446 AFR
NA19448 NA19448 AFR
NA19449 NA19449 AFR
NA19451 NA19451 AFR
NA19452 NA19452 AFR
NA19453 NA19453 AFR
NA19455 NA19455 AFR
NA19456 NA19456 AFR
NA19457 NA19457 AFR
NA19461 NA19461 AFR
NA19462 NA19462 AFR
NA19463 NA19463 AFR
NA19466 NA19466 AFR
NA19467 NA19467 AFR
NA19469 NA19469 AFR
NA19471 NA19471 AFR
NA19472 NA19472 AFR
NA19473 NA19473 AFR
NA19474 NA19474 AFR
NA19625 NA19625 AFR
NA19648 NA19648 AMR
NA19649 NA19649 AMR
NA19651 NA19651 AMR
NA19652 NA19652 AMR
NA19654 NA19654 AMR
NA19655 NA19655 AMR
NA19658 NA19658 AMR
NA19660 NA19660 AMR
NA19661 NA19661 AMR
NA19678 NA19678 AMR
NA19684 NA19684 AMR
NA19685 NA19685 AMR
NA19700 NA19700 AFR
NA19701 NA19701 AFR
NA19703 NA19703 AFR
NA19704 NA19704 AFR
NA19707 NA19707 AFR
NA19712 NA19712 AFR
NA19713 NA19713 AFR
NA19720 NA19720 AMR
NA19722 NA19722 AMR
NA19723 NA19723 AMR
NA19725 NA19725 AMR
NA19726 NA19726 AMR
NA19818 NA19818 AFR
NA19819 NA19819 AFR
NA19834 NA19834 AFR
NA19835 NA19835 AFR
NA19900 NA19900 AFR
NA19901 NA19901 AFR
NA19904 NA19904 AFR
NA19908 NA19908 AFR
NA19909 NA19909 AFR
NA19914 NA19914 AFR
NA19916 NA19916 AFR
NA19917 NA19917 AFR
NA19920 NA19920 AFR
NA19921 NA19921 AFR
NA19982 NA19982 AFR
NA20414 NA20414 AFR
NA20502 NA20502 EUR
NA20505 NA20505 EUR
NA20508 NA20508 EUR
NA20509 NA20509 EUR
NA20510 NA20510 EUR
NA20512 NA20512 EUR
NA20515 NA20515 EUR
NA20516 NA20516 EUR
NA20517 NA20517 EUR
NA20518 NA20518 EUR
NA20519 NA20519 EUR
NA20520 NA20520 EUR
NA20521 NA20521 EUR
NA20522 NA20522 EUR
NA20524 NA20524 EUR
NA20525 NA20525 EUR
NA20526 NA20526 EUR
NA20527 NA20527 EUR
NA20528 NA20528 EUR
NA20529 NA20529 EUR
NA20530 NA20530 EUR
NA20531 NA20531 EUR
NA20532 NA20532 EUR
NA20533 NA20533 EUR
NA20534 NA20534 EUR
NA20535 NA20535 EUR
NA20536 NA20536 EUR
NA20537 NA20537 EUR
NA20538 NA20538 EUR
NA20539 NA20539 EUR
NA20540 NA20540 EUR
NA20541 NA20541 EUR
NA20542 NA20542 EUR
NA20543 NA20543 EUR
NA20544 NA20544 EUR
NA20581 NA20581 EUR
NA20582 NA20582 EUR
NA20585 NA20585 EUR
NA20586 NA20586 EUR
NA20588 NA20588 EUR
NA20589 NA20589 EUR
NA20752 NA20752 EUR
NA20753 NA20753 EUR
NA20754 NA20754 EUR
NA20755 NA20755 EUR
NA20756 NA20756 EUR
NA20757 NA20757 EUR
NA20758 NA20758 EUR
NA20759 NA20759 EUR
NA20760 NA20760 EUR
NA20761 NA20761 EUR
NA20765 NA20765 EUR
NA20769 NA20769 EUR
NA20770 NA20770 EUR
NA20771 NA20771 EUR
NA20772 NA20772 EUR
NA20773 NA20773 EUR
NA20774 NA20774 EUR
NA20775 NA20775 EUR
NA20778 NA20778 EUR
NA20783 NA20783 EUR
NA20785 NA20785 EUR
NA20786 NA20786 EUR
NA20787 NA20787 EUR
NA20790 NA20790 EUR
NA20792 NA20792 EUR
NA20795 NA20795 EUR
NA20796 NA20796 EUR
NA20797 NA20797 EUR
NA20798 NA20798 EUR
NA20799 NA20799 EUR
NA20800 NA20800 EUR
NA20801 NA20801 EUR
NA20802 NA20802 EUR
NA20803 NA20803 EUR
NA20804 NA20804 EUR
NA20805 NA20805 EUR
NA20806 NA20806 EUR
NA20807 NA20807 EUR
NA20808 NA20808 EUR
NA20809 NA20809 EUR
NA20810 NA20810 EUR
NA20811 NA20811 EUR
NA20812 NA20812 EUR
NA20813 NA20813 EUR
NA20814 NA20814 EUR
NA20815 NA20815 EUR
NA20816 NA20816 EUR
NA20818 NA20818 EUR
NA20819 NA20819 EUR
NA20826 NA20826 EUR
NA20828 NA20828 EUR
1328 NA06989 OWN
1377 NA11891 OWN
1349 NA11843 OWN
1330 NA12341 OWN
1344 NA10850 OWN
1328 NA06984 OWN
1418 NA12275 OWN
13291 NA06986 OWN
1418 NA12272 OWN
1346 NA10852 OWN
13292 NA07051 OWN
1354 NA12400 OWN
1451 NA12777 OWN
1421 NA12287 OWN
1353 NA12383 OWN
1330 NA12340 OWN
1358 NA12708 OWN
1418 NA12273 OWN
1377 NA11892 OWN
1353 NA12546 OWN
1458 NA12843 OWN
13281 NA12348 OWN
1423 NA11917 OWN
1421 NA12282 OWN
1423 NA11920 OWN
1451 NA12776 OWN
1421 NA12283 OWN
13291 NA07435 OWN
1456 NA12828 OWN
13291 NA07045 OWN
13292 NA07031 OWN
1330 NA12336 OWN
1456 NA12827 OWN
1451 NA12778 OWN
1424 NA11930 OWN
1463 NA12890 OWN
13291 NA07037 OWN
1345 NA07347 OWN
1456 NA12829 OWN
1444 NA12749 OWN
1377 NA11894 OWN
1421 NA12286 OWN
1423 NA11918 OWN
1456 NA12830 OWN
1377 NA11893 OWN
1423 NA11919 OWN
1353 NA12489 OWN
1354 NA12399 OWN
1355 NA12413 OWN
1458 NA12842 OWN
13281 NA12347 OWN
1345 NA07346 OWN
1451 NA12775 OWN
1463 NA12889 OWN
1444 NA12748 OWN
1424 NA11931 OWN
1444 NA12750 OWN
1350 NA11831 OWN
1334 NA12146 OWN
1347 NA11882 OWN
1340 NA07056 OWN
1358 NA12707 OWN
1408 NA12154 OWN
1349 NA11839 OWN
1459 NA12875 OWN
1408 NA12156 OWN
1346 NA12044 OWN
1362 NA11992 OWN
1350 NA11829 OWN
1334 NA12239 OWN
1447 NA12762 OWN
1447 NA12760 OWN
1341 NA06985 OWN
1420 NA12003 OWN
1340 NA07022 OWN
1341 NA07055 OWN
1344 NA12056 OWN
1334 NA12145 OWN
1454 NA12814 OWN
1420 NA12006 OWN
1447 NA12763 OWN
1345 NA07357 OWN
1334 NA12144 OWN
1340 NA07000 OWN
