,0,1,Population_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1328,NA06984,OWN,0.0198851,-0.0307481,0.0340657,0.0188992,-0.0211133,-0.200622,0.0608097,0.163415,0.054055,-0.047604,-0.123741,0.107321,-0.182177,0.0538694,0.157975,0.0994017,0.0963838,-0.0454989,-0.0558289,-0.0805009
1,1328,NA06989,OWN,0.0191869,-0.0300318,0.0616031,0.0217169,0.339198,0.0187615,0.0707898,0.00194897,-0.111776,-0.0730116,-0.0316905,-0.0107425,0.0391363,-0.0127596,0.0742072,0.0381626,-0.0600666,0.0144883,0.0451703,0.119997
2,1330,NA12336,OWN,0.0197048,-0.03096,0.013979,0.0211813,0.0104432,0.0127713,0.00199394,-0.00395033,0.00945932,0.00448447,-0.000498115,0.00304218,0.00177041,-0.0051744,-0.0107939,-0.0170198,-0.0120922,0.0129525,-0.00087338,-0.00347337
3,1330,NA12340,OWN,0.0196717,-0.0310494,0.0221997,0.014017,-0.0484793,-0.0120125,-0.0107901,0.0330491,-0.120419,-0.0450099,0.149898,0.0195864,0.0967872,-0.00311518,0.0346716,0.0573157,-0.0419053,-0.0725413,0.0134824,-0.0895585
4,1330,NA12341,OWN,0.0187119,-0.0309298,0.0258003,0.00509522,-0.0570439,0.065911,-0.0409371,0.0554683,-0.0667081,-0.0262026,-0.0450674,-0.140115,-0.0280444,0.0225079,0.134543,0.124301,0.0454765,-0.0450272,0.0870601,0.147676
5,1334,NA12144,OWN,0.0193827,-0.0310808,-0.0461921,0.0149986,0.0730373,0.0267694,0.0242086,0.0842084,-0.15391,-0.00714342,0.0187813,-0.0540288,-0.0897494,-0.0829695,-0.0396162,-0.0111011,-0.0445684,-0.0274167,-0.096465,-0.0107783
6,1334,NA12145,OWN,0.0190911,-0.0309377,0.00617052,0.00721889,-0.00363334,-0.00167708,0.00472274,0.00565595,-0.000331406,0.00654962,0.00184662,-0.00171444,0.0017581,0.00184423,-0.0100039,-0.00492771,0.00121756,0.00992765,0.00808003,0.0120047
7,1334,NA12146,OWN,0.018722,-0.0315217,0.0162873,0.0178739,0.00602428,0.0137415,0.000984644,-0.0111237,-0.00335501,0.00380246,-0.0289963,-0.0138431,-0.0192236,-0.000286898,-0.0118988,0.00432815,0.0153774,0.0172871,0.00481412,0.0205501
8,1334,NA12239,OWN,0.019336,-0.0300001,0.026102,0.0125113,0.00528064,0.0166226,0.00395709,-0.00249234,0.00644933,-0.000115876,-0.0260042,-0.0077499,-0.00044486,0.00561489,-0.0122083,0.0112872,-0.00543414,0.0101563,-0.00881046,0.0196327
9,1340,NA06994,OWN,0.0195529,-0.0298125,0.0331131,0.0201767,-0.0941437,0.080756,-0.059902,0.0665838,-0.0275275,0.00585468,-0.00860015,0.101802,0.138209,0.0554453,-0.0879891,0.0817772,-0.0222697,-0.00495023,0.0319185,-0.0606619
